Record_ID,Timestamp,Flight_ID,Cargo_Volume,Cargo_Type,Shipment_Priority,Arrival_Departure,Terminal_ID,Gate_Assigned,Handling_Time,Waiting_Time,Workforce_Assigned,Equipment_Used,Equipment_Type,Facility_Utilization,Storage_Occupancy,Queue_Length,Flight_Delay,Peak_Hour_Indicator,Weather_Condition,Operational_Cost,Energy_Consumption,Throughput_Rate,Bottleneck_Flag,Demand_Forecast,Real_Time_Load,Allocation_Strategy,Allocation_Efficiency_Class
11,2024-01-22 16:44:00,FL1306,7.37,Hazardous,High,Arrival,T2,16,158.54,42.55,20,7,Conveyor,70.01,31.72,80,23.03,1,Fog,2633.26,1074.24,111.34,1,89.25,49.25,Adaptive,Low Efficiency
12,2024-03-09 05:26:00,FL4412,116.54,General,Critical,Departure,T4,41,76.34,73.23,15,7,Loader,53.22,48.37,80,42.81,0,Storm,1957.77,1399.77,21.96,1,96.51,91.74,Optimized,Low Efficiency
13,2024-06-08 04:58:00,FL6434,100.73,Express,Low,Arrival,T3,34,91.55,110.55,31,2,Loader,88.93,37.47,35,32.79,0,Fog,2417.21,358.99,112.48,1,111.99,29.88,Optimized,Low Efficiency
14,2024-06-18 10:02:00,FL6793,29.42,Hazardous,Low,Arrival,T3,46,80.92,6.15,30,2,Crane,78.91,95.82,32,49.98,0,Fog,538.99,804.09,110.62,0,19.21,113.41,Baseline,Moderate Efficiency
15,2024-01-20 07:44:00,FL2084,25.91,Hazardous,High,Arrival,T3,24,39.31,50.21,35,7,Forklift,58.83,47.13,87,38.57,1,Clear,3745.6,1437.25,69.37,0,19.35,85.55,Optimized,Low Efficiency
16,2024-05-24 18:56:00,FL3446,26.09,General,High,Departure,T2,29,178.46,102.72,38,5,Loader,56.55,36.59,25,39.07,1,Storm,1402.57,1373.35,93.42,1,139.15,140.79,Baseline,Low Efficiency
17,2024-11-01 11:38:00,FL5595,39.99,Hazardous,Low,Arrival,T1,16,152.13,52.2,12,2,Forklift,70.0,83.88,43,44.16,0,Storm,2157.2,769.05,58.09,0,114.23,106.21,Adaptive,Low Efficiency
18,2024-06-09 12:28:00,FL1510,65.35,Hazardous,Low,Departure,T1,5,106.55,87.81,43,1,Conveyor,52.44,59.0,28,88.91,0,Fog,2310.69,872.86,94.23,0,57.88,147.42,Baseline,Low Efficiency
19,2024-11-23 02:29:00,FL6556,54.67,Express,High,Arrival,T1,5,96.22,84.57,5,9,Crane,92.69,89.06,66,50.09,0,Storm,798.1,1383.1,36.74,0,13.46,123.74,Optimized,Low Efficiency
20,2024-07-21 13:44:00,FL7147,38.49,Hazardous,Low,Departure,T1,30,123.88,28.63,6,11,Loader,87.31,88.69,67,65.1,0,Fog,2144.82,144.97,109.35,0,95.31,84.2,Adaptive,Moderate Efficiency
21,2024-01-05 17:34:00,FL9753,75.36,Perishable,Medium,Departure,T1,5,72.23,56.7,31,8,Conveyor,58.5,99.47,95,37.51,1,Clear,4549.31,1466.68,96.73,0,44.86,41.5,Baseline,Low Efficiency
22,2024-04-26 06:14:00,FL3719,21.04,General,Medium,Arrival,T3,43,28.05,70.11,49,2,Loader,42.96,86.27,97,29.33,1,Clear,4519.42,1467.79,90.58,0,18.13,57.66,Adaptive,Low Efficiency
23,2024-11-03 17:43:00,FL7382,38.6,Hazardous,Medium,Departure,T3,13,84.69,87.28,47,2,Conveyor,43.11,44.99,33,82.49,0,Clear,610.65,1422.11,98.53,0,115.71,62.56,Adaptive,Low Efficiency
24,2024-09-04 18:18:00,FL4070,47.13,General,High,Arrival,T4,35,177.44,99.57,7,3,Crane,57.83,71.05,47,66.81,1,Fog,634.05,1451.71,47.93,0,146.73,137.84,Baseline,Low Efficiency
25,2024-07-21 08:09:00,FL2914,57.45,General,Medium,Arrival,T3,49,49.18,92.39,38,4,Loader,48.85,66.84,35,52.42,0,Storm,3172.85,525.7,30.89,1,114.6,46.03,Optimized,Low Efficiency
26,2024-04-23 05:12:00,FL6050,95.3,General,High,Arrival,T2,25,104.43,8.26,20,9,Loader,92.4,65.57,64,30.28,1,Storm,1421.7,151.9,49.03,1,25.7,111.1,Adaptive,Low Efficiency
27,2024-06-05 18:52:00,FL6152,27.96,Hazardous,Medium,Arrival,T4,14,21.36,82.12,5,12,Forklift,65.25,50.78,90,23.21,1,Rain,4543.3,498.08,14.26,1,61.48,92.34,Baseline,Low Efficiency
28,2024-09-02 02:24:00,FL1518,64.14,Hazardous,Medium,Arrival,T3,44,39.53,62.19,11,6,Forklift,60.88,44.71,12,22.69,0,Rain,2672.84,583.93,39.73,1,44.75,34.06,Adaptive,Low Efficiency
29,2024-03-15 10:15:00,FL5448,73.13,General,High,Arrival,T4,46,113.95,70.99,39,3,Loader,53.07,80.18,53,45.34,1,Clear,1966.07,593.45,76.8,0,62.36,47.56,Optimized,Low Efficiency
30,2024-03-08 12:51:00,FL7780,10.34,Perishable,Low,Arrival,T4,26,67.59,47.89,26,14,Crane,90.47,37.12,44,78.73,1,Storm,4789.75,1052.64,103.12,0,88.06,49.75,Baseline,Moderate Efficiency
31,2024-10-03 15:42:00,FL2422,74.87,General,Low,Departure,T1,18,164.91,87.11,36,8,Forklift,87.55,33.47,46,79.29,0,Fog,1930.68,1309.06,112.34,1,98.88,35.09,Baseline,Low Efficiency
32,2024-03-11 10:14:00,FL9143,24.61,Perishable,Low,Arrival,T4,20,84.99,82.5,30,6,Loader,63.06,56.69,11,67.05,0,Fog,1943.73,410.78,89.44,0,53.15,119.83,Optimized,Low Efficiency
33,2024-09-18 09:37:00,FL4893,12.48,General,Low,Arrival,T3,34,53.29,71.64,10,8,Loader,50.16,82.07,70,48.82,0,Fog,1098.94,726.2,108.1,0,104.4,53.85,Baseline,Low Efficiency
34,2024-09-07 11:03:00,FL7088,114.12,Express,Medium,Departure,T1,7,107.29,104.08,15,10,Conveyor,97.12,90.8,89,21.14,0,Storm,1500.13,629.92,42.05,1,105.81,84.73,Adaptive,Low Efficiency
35,2024-07-11 14:50:00,FL8404,116.05,General,High,Departure,T3,47,147.2,16.72,35,12,Crane,58.95,67.81,46,43.1,1,Storm,3922.21,1170.44,84.55,0,149.03,113.15,Optimized,Low Efficiency
36,2024-02-01 15:21:00,FL5958,97.97,General,High,Arrival,T1,10,23.11,39.62,25,2,Forklift,86.27,88.8,59,62.53,0,Clear,3918.86,545.05,117.44,0,77.35,145.62,Optimized,High Efficiency
37,2024-11-30 13:01:00,FL4541,40.03,Hazardous,High,Arrival,T3,15,100.88,61.94,26,8,Forklift,67.78,31.77,59,53.55,0,Rain,2239.69,178.7,77.19,1,56.02,137.42,Optimized,Low Efficiency
38,2024-03-31 21:29:00,FL9603,16.23,Perishable,Medium,Arrival,T1,17,143.75,115.24,5,11,Conveyor,86.9,61.88,34,46.26,1,Storm,2072.19,567.33,57.07,1,130.1,39.7,Adaptive,Low Efficiency
39,2024-10-02 15:22:00,FL5953,83.69,Express,Medium,Departure,T1,11,36.57,13.28,25,5,Loader,68.9,39.34,99,38.54,0,Fog,2382.78,595.56,38.9,0,33.55,135.17,Baseline,Low Efficiency
40,2024-02-27 09:07:00,FL3867,55.62,Perishable,Medium,Arrival,T2,34,164.45,43.76,49,10,Forklift,95.53,70.79,21,67.73,0,Storm,1853.77,1251.34,44.62,0,72.56,128.46,Baseline,Low Efficiency
41,2024-08-01 11:39:00,FL2838,19.03,Express,Low,Departure,T3,27,62.32,111.48,24,14,Loader,88.03,94.47,82,75.8,0,Rain,3235.07,867.05,32.27,0,97.72,14.19,Optimized,Low Efficiency
42,2024-09-20 08:01:00,FL7131,61.95,General,Low,Arrival,T4,21,47.3,108.26,13,14,Forklift,55.62,30.5,72,65.06,0,Rain,4264.62,832.92,87.32,0,29.95,133.85,Adaptive,Low Efficiency
43,2024-05-20 00:29:00,FL1612,8.95,Hazardous,Medium,Arrival,T1,31,114.28,104.5,31,12,Forklift,65.82,76.78,98,84.41,1,Fog,542.18,938.36,89.64,1,17.64,84.82,Adaptive,Low Efficiency
44,2024-02-20 15:33:00,FL4311,109.57,Hazardous,Critical,Departure,T3,4,48.0,40.46,33,4,Loader,46.04,85.46,52,70.19,1,Clear,4712.03,886.04,95.75,1,65.6,36.82,Adaptive,Low Efficiency
45,2024-02-03 08:50:00,FL2517,34.76,Perishable,Low,Arrival,T1,41,128.75,102.39,47,3,Loader,94.21,82.11,48,40.55,1,Rain,1030.79,1054.31,61.42,0,58.98,149.35,Optimized,Low Efficiency
46,2024-06-14 22:48:00,FL8270,81.19,Hazardous,Low,Arrival,T2,49,98.42,63.11,37,12,Forklift,44.16,31.38,78,55.51,0,Rain,4548.68,1365.45,25.21,0,114.3,53.66,Baseline,Low Efficiency
47,2024-07-29 17:25:00,FL9290,40.85,Perishable,High,Arrival,T2,17,37.59,76.27,49,9,Conveyor,41.09,42.17,19,45.39,0,Rain,1551.01,1326.89,56.41,0,84.64,36.27,Adaptive,Low Efficiency
48,2024-02-28 02:27:00,FL1408,64.81,Perishable,Low,Departure,T2,49,166.0,32.46,5,10,Conveyor,69.79,36.61,84,49.17,0,Rain,4626.65,793.45,92.34,0,13.18,34.22,Baseline,Low Efficiency
49,2024-06-18 12:18:00,FL8907,67.87,Express,High,Arrival,T2,48,127.71,86.27,7,7,Conveyor,76.19,35.98,4,80.61,0,Rain,4042.99,1285.5,104.14,0,138.68,83.69,Adaptive,Low Efficiency
50,2024-03-14 13:07:00,FL9192,26.26,Perishable,High,Arrival,T4,20,107.36,42.69,36,7,Conveyor,53.39,81.11,32,27.08,0,Storm,1711.26,1308.24,18.93,0,130.52,34.47,Adaptive,Low Efficiency
51,2024-10-03 19:11:00,FL3524,116.5,Express,Critical,Departure,T4,25,79.89,44.55,24,6,Conveyor,74.23,59.74,90,1.18,0,Fog,627.24,1205.37,36.83,0,20.46,82.78,Optimized,Low Efficiency
52,2024-07-21 09:56:00,FL4116,94.14,Hazardous,Medium,Departure,T1,40,41.58,78.23,21,9,Loader,93.73,80.74,28,62.61,1,Storm,3721.29,158.88,115.82,1,45.69,113.21,Optimized,Moderate Efficiency
53,2024-11-26 03:55:00,FL6572,113.04,Perishable,High,Arrival,T3,23,133.2,32.58,41,3,Forklift,77.57,55.25,76,16.29,1,Clear,4197.93,1026.87,57.52,0,97.34,142.81,Optimized,Low Efficiency
54,2024-09-22 15:54:00,FL8921,107.91,Perishable,Medium,Arrival,T2,15,150.18,30.81,42,14,Conveyor,67.34,38.19,58,13.88,0,Rain,3558.94,538.5,17.77,1,35.26,61.46,Baseline,Low Efficiency
55,2024-04-28 10:35:00,FL9579,73.76,General,High,Departure,T2,33,40.13,47.45,14,1,Crane,48.67,80.29,74,89.32,1,Clear,2217.5,1322.59,32.41,1,146.34,146.63,Optimized,Low Efficiency
56,2024-09-26 13:22:00,FL6084,111.02,Perishable,Medium,Arrival,T4,19,99.13,94.48,47,7,Forklift,50.14,73.82,41,24.01,0,Clear,1073.26,497.55,101.03,0,68.9,148.45,Optimized,Low Efficiency
57,2024-09-15 16:48:00,FL6363,15.18,Perishable,Low,Arrival,T4,15,97.58,30.84,49,9,Crane,69.06,37.91,99,18.34,0,Fog,2061.72,1386.08,93.54,0,108.64,92.32,Adaptive,Low Efficiency
58,2024-06-01 13:24:00,FL3347,27.54,General,Medium,Departure,T2,41,75.99,95.54,33,6,Loader,67.79,94.71,33,17.19,0,Storm,1708.63,961.17,33.92,0,81.57,52.35,Optimized,Low Efficiency
59,2024-07-13 09:46:00,FL2609,10.2,General,Medium,Arrival,T3,5,146.29,84.99,46,10,Forklift,71.34,51.62,14,37.11,1,Clear,3753.9,1003.08,21.17,0,53.16,129.43,Baseline,Low Efficiency
60,2024-02-21 23:50:00,FL9456,42.41,Hazardous,High,Arrival,T1,16,35.92,83.09,36,2,Loader,70.47,75.83,87,36.85,1,Clear,1217.12,1342.83,18.73,0,107.57,17.45,Optimized,Low Efficiency
61,2024-05-04 14:51:00,FL3174,49.7,Perishable,High,Departure,T1,45,52.8,59.6,17,13,Crane,60.48,32.24,82,56.92,0,Clear,4187.94,1479.56,64.96,1,76.55,71.69,Baseline,Low Efficiency
62,2024-06-27 06:22:00,FL4361,36.21,Hazardous,High,Arrival,T1,48,20.26,90.78,35,8,Forklift,81.75,61.01,53,9.33,0,Clear,3253.74,532.61,86.51,1,99.01,98.73,Optimized,Moderate Efficiency
63,2024-04-28 23:39:00,FL1598,100.3,Hazardous,Low,Arrival,T1,32,79.68,6.55,8,9,Forklift,52.73,97.51,76,57.19,1,Rain,2671.56,224.41,45.61,0,65.03,147.38,Optimized,Low Efficiency
64,2024-12-02 14:34:00,FL8526,46.03,General,High,Arrival,T3,22,66.59,40.14,22,10,Loader,91.14,92.06,42,40.83,0,Fog,2121.04,1112.69,19.48,1,149.63,107.35,Adaptive,Low Efficiency
65,2024-10-03 07:27:00,FL7350,37.31,Express,Medium,Departure,T3,43,158.72,83.1,15,8,Forklift,51.66,45.49,36,18.69,1,Fog,2783.72,198.25,64.12,0,38.92,42.36,Optimized,Low Efficiency
66,2024-07-15 13:40:00,FL9558,67.41,Hazardous,Critical,Arrival,T3,32,139.33,118.54,46,9,Crane,64.95,91.54,25,70.04,1,Fog,2930.67,847.41,34.09,0,35.64,129.49,Optimized,Low Efficiency
67,2024-06-08 22:03:00,FL2897,21.21,Express,Critical,Departure,T4,13,33.52,5.29,22,1,Loader,52.64,50.51,52,42.67,0,Clear,1566.43,583.35,29.9,0,11.32,102.08,Optimized,Low Efficiency
68,2024-08-24 03:15:00,FL1067,97.25,Perishable,Low,Departure,T2,38,138.55,63.65,45,3,Crane,77.11,89.66,40,64.54,0,Clear,4949.4,645.99,95.21,1,131.88,131.02,Optimized,Low Efficiency
69,2024-02-10 17:35:00,FL6095,13.57,General,High,Arrival,T3,26,128.06,111.24,41,3,Forklift,68.66,81.05,86,82.85,0,Rain,4592.96,429.68,76.48,0,32.0,107.42,Optimized,Low Efficiency
70,2024-06-15 18:54:00,FL1721,118.49,Perishable,Low,Departure,T1,17,65.08,104.31,37,14,Crane,62.46,54.64,70,31.81,0,Clear,2258.59,1079.08,44.66,0,44.53,58.67,Optimized,Low Efficiency
71,2024-01-24 08:59:00,FL2426,93.81,Perishable,Medium,Arrival,T3,5,22.47,7.66,41,9,Forklift,68.51,93.76,80,80.81,0,Storm,1643.1,900.66,60.66,0,38.89,26.32,Optimized,Moderate Efficiency
72,2024-08-17 16:56:00,FL6460,27.85,General,Medium,Arrival,T2,49,38.43,65.9,7,3,Crane,65.27,63.97,62,18.03,1,Storm,1881.7,1433.42,34.63,1,147.09,106.85,Adaptive,Low Efficiency
73,2024-10-19 02:51:00,FL8649,5.64,Perishable,Low,Arrival,T4,33,59.99,5.49,5,14,Crane,91.31,52.24,87,19.99,0,Clear,4910.76,597.75,71.78,0,129.43,38.44,Baseline,Moderate Efficiency
74,2024-07-13 23:06:00,FL1755,98.78,General,High,Departure,T1,27,150.66,95.8,23,10,Conveyor,47.46,49.58,9,59.73,0,Storm,2331.79,652.01,93.27,0,114.87,19.16,Baseline,Low Efficiency
75,2024-02-18 04:43:00,FL2689,86.29,Express,Low,Arrival,T4,5,94.45,40.52,10,1,Forklift,87.59,95.73,99,9.24,0,Storm,4603.69,331.01,57.12,1,64.34,50.98,Optimized,Low Efficiency
76,2024-06-02 15:11:00,FL9529,88.84,Perishable,Low,Arrival,T3,37,166.94,93.04,14,3,Conveyor,79.32,83.1,93,40.93,1,Fog,765.61,956.33,52.21,1,10.95,54.38,Baseline,Low Efficiency
77,2024-08-17 03:23:00,FL6119,93.7,General,Medium,Arrival,T1,7,146.26,113.65,41,2,Conveyor,60.9,54.49,78,19.24,0,Clear,3995.58,232.93,37.69,1,145.5,148.95,Baseline,Low Efficiency
78,2024-06-03 19:55:00,FL1368,13.52,Hazardous,High,Departure,T1,48,65.94,117.25,16,9,Loader,95.15,47.79,69,51.38,0,Fog,3929.57,1455.43,45.58,1,38.46,88.88,Adaptive,Low Efficiency
79,2024-12-29 12:41:00,FL6114,46.22,Perishable,Critical,Departure,T3,18,155.26,107.82,48,14,Loader,50.62,44.81,21,72.61,0,Storm,3429.44,1374.1,49.61,1,19.21,148.6,Baseline,Low Efficiency
80,2024-10-15 02:10:00,FL4438,18.32,Express,High,Arrival,T3,31,38.68,28.48,21,1,Crane,58.62,47.11,53,3.82,1,Fog,1045.03,1079.57,44.41,1,63.24,118.14,Optimized,Low Efficiency
81,2024-11-30 03:01:00,FL6257,104.26,General,High,Arrival,T2,6,25.78,27.38,31,11,Forklift,62.49,37.77,70,37.2,0,Storm,4916.3,544.2,19.93,0,49.02,79.23,Adaptive,Low Efficiency
82,2024-04-14 00:51:00,FL4285,76.68,Perishable,Medium,Arrival,T3,2,117.37,76.96,6,2,Loader,78.87,63.93,1,65.76,0,Fog,1457.51,598.61,26.26,0,142.17,49.79,Adaptive,Low Efficiency
83,2024-07-11 21:06:00,FL4154,43.05,Perishable,Low,Arrival,T3,13,74.68,67.57,29,1,Conveyor,96.78,32.88,31,30.8,0,Clear,3693.7,221.98,119.59,0,13.82,41.39,Adaptive,Moderate Efficiency
84,2024-04-11 16:13:00,FL5695,12.31,Perishable,Low,Departure,T3,42,72.71,6.1,48,9,Forklift,75.61,30.81,45,3.75,1,Storm,3881.64,445.84,49.93,0,147.04,42.8,Adaptive,Low Efficiency
85,2024-06-28 14:07:00,FL5532,40.76,Express,Medium,Departure,T1,11,129.95,50.05,32,7,Crane,91.38,73.27,28,53.22,0,Clear,3919.64,594.23,98.59,0,92.14,130.6,Adaptive,Low Efficiency
86,2024-07-10 07:44:00,FL9720,42.4,General,High,Departure,T2,26,156.02,109.27,49,14,Crane,94.3,36.19,3,10.81,1,Rain,4217.02,727.1,88.9,0,51.98,65.49,Optimized,Low Efficiency
87,2024-11-07 23:25:00,FL6228,88.9,Hazardous,Medium,Departure,T1,21,71.55,108.31,41,13,Loader,67.99,89.16,87,33.29,0,Storm,4951.06,749.98,72.06,1,131.54,73.16,Optimized,Low Efficiency
88,2024-10-17 20:01:00,FL8227,78.32,Hazardous,High,Departure,T3,2,72.0,28.45,41,1,Loader,68.35,37.47,40,89.15,0,Fog,931.96,1339.15,59.48,0,68.39,96.41,Optimized,Low Efficiency
89,2024-09-20 14:20:00,FL2927,107.03,Hazardous,Medium,Departure,T2,40,105.42,48.93,21,13,Loader,55.0,67.99,4,35.82,0,Rain,2624.85,729.75,83.18,0,84.56,17.85,Adaptive,Low Efficiency
90,2024-06-08 16:54:00,FL5467,59.3,General,Low,Departure,T3,20,124.51,69.44,9,13,Crane,76.1,77.29,70,75.86,1,Clear,4886.78,1440.4,74.26,0,29.98,76.47,Adaptive,Low Efficiency
91,2024-04-10 17:31:00,FL3446,18.75,Hazardous,Low,Arrival,T1,17,52.46,103.07,23,10,Conveyor,47.2,46.04,76,77.38,0,Clear,4469.38,217.34,90.73,0,133.24,12.24,Adaptive,Low Efficiency
92,2024-12-25 08:48:00,FL3580,87.02,Express,High,Arrival,T1,16,166.03,66.18,8,12,Loader,78.06,92.18,12,23.65,0,Clear,4957.79,395.37,119.32,1,132.96,114.28,Baseline,Low Efficiency
93,2024-03-07 04:45:00,FL5483,92.49,General,High,Arrival,T3,42,124.71,116.34,43,6,Crane,93.57,63.7,62,53.6,0,Rain,3120.96,643.18,44.64,1,115.23,13.2,Optimized,Low Efficiency
94,2024-02-04 07:25:00,FL2875,69.55,Perishable,Critical,Arrival,T2,5,120.03,96.89,47,5,Forklift,85.65,52.07,71,85.27,1,Storm,3527.82,1343.42,46.73,0,111.64,108.71,Baseline,Low Efficiency
95,2024-03-20 20:15:00,FL1249,93.66,Express,Low,Arrival,T1,14,164.67,114.61,42,10,Crane,78.95,93.08,92,54.57,0,Storm,1687.12,271.1,85.81,0,38.03,38.11,Adaptive,Low Efficiency
96,2024-04-21 07:05:00,FL9422,61.79,Perishable,Critical,Arrival,T3,24,165.16,89.12,49,14,Forklift,90.3,90.08,90,73.19,0,Clear,2562.49,597.09,102.9,0,71.97,123.76,Baseline,Low Efficiency
97,2024-04-26 11:53:00,FL2677,65.11,Hazardous,Low,Departure,T4,4,41.69,105.93,48,11,Forklift,83.79,79.67,48,41.63,0,Clear,594.27,257.04,30.89,0,22.87,54.3,Baseline,Low Efficiency
98,2024-11-03 09:46:00,FL4384,54.17,Express,Low,Arrival,T3,48,43.21,100.57,34,5,Conveyor,71.78,50.33,7,64.74,0,Clear,3738.74,1183.59,104.02,0,92.81,136.63,Optimized,Moderate Efficiency
99,2024-02-16 06:13:00,FL9888,7.92,General,Critical,Departure,T3,24,141.91,34.19,36,4,Loader,71.26,57.31,57,1.97,0,Rain,4666.45,495.45,108.61,0,39.56,113.41,Optimized,Low Efficiency
100,2024-10-07 04:17:00,FL6739,17.41,Express,Low,Arrival,T2,47,173.1,31.4,41,3,Forklift,46.42,78.28,56,70.87,0,Rain,1004.67,708.13,53.43,0,51.79,39.4,Optimized,Low Efficiency
101,2024-10-04 21:16:00,FL6218,8.61,Perishable,High,Departure,T3,9,126.64,104.4,31,14,Loader,66.06,42.97,67,60.47,0,Clear,2544.7,1244.41,39.32,0,124.19,133.86,Adaptive,Low Efficiency
102,2024-12-06 19:45:00,FL5440,78.19,General,Low,Departure,T4,3,85.81,14.74,36,13,Crane,71.35,64.66,13,32.3,0,Fog,3304.25,334.98,54.06,0,147.92,12.86,Baseline,Low Efficiency
103,2024-07-02 01:46:00,FL3319,41.15,Express,Medium,Arrival,T3,9,129.36,51.98,46,8,Loader,68.2,81.64,52,37.53,1,Storm,3344.8,1426.03,30.53,0,63.17,96.91,Baseline,Low Efficiency
104,2024-01-09 08:38:00,FL5641,63.49,Express,Critical,Arrival,T4,18,56.61,99.38,15,7,Crane,86.56,76.04,63,29.4,0,Rain,1879.39,651.5,16.51,0,121.21,127.78,Optimized,Low Efficiency
105,2024-03-24 09:56:00,FL5011,109.37,Express,Medium,Arrival,T1,36,179.67,98.52,45,5,Forklift,49.66,80.4,41,47.19,0,Storm,589.03,562.56,97.7,1,28.48,28.13,Baseline,Low Efficiency
106,2024-07-13 07:06:00,FL3806,33.67,Express,High,Arrival,T3,19,88.97,20.96,17,12,Conveyor,87.69,92.43,75,9.78,1,Rain,4495.17,367.06,72.68,0,84.04,16.33,Baseline,Low Efficiency
107,2024-09-04 16:59:00,FL2167,52.19,General,Low,Arrival,T2,24,169.07,61.09,39,9,Forklift,84.5,97.78,23,76.04,1,Fog,913.0,754.52,64.35,0,87.17,134.43,Adaptive,Low Efficiency
108,2024-03-22 05:30:00,FL6101,91.89,Perishable,High,Departure,T3,4,88.93,60.18,21,12,Crane,94.05,62.09,47,43.02,0,Rain,1299.56,1472.98,33.54,0,134.35,51.5,Baseline,Low Efficiency
109,2024-08-01 17:17:00,FL6549,31.31,Express,Medium,Arrival,T4,9,168.5,42.23,34,7,Forklift,62.41,34.2,65,3.88,1,Storm,4832.54,787.38,70.77,0,43.8,103.13,Optimized,Low Efficiency
110,2024-11-12 14:04:00,FL9856,13.85,General,Low,Departure,T4,33,73.71,110.48,22,10,Conveyor,50.59,88.4,98,49.77,1,Fog,2751.68,732.99,54.18,0,18.99,127.26,Optimized,Low Efficiency
111,2024-04-25 04:00:00,FL8268,38.32,Perishable,Medium,Departure,T2,1,141.69,80.11,41,2,Loader,85.52,38.26,31,83.75,0,Fog,4433.17,110.68,65.68,0,58.98,25.44,Baseline,Low Efficiency
112,2024-11-26 09:23:00,FL1831,23.54,Express,Low,Departure,T4,35,172.16,117.72,34,7,Crane,75.31,45.36,97,7.87,0,Fog,4536.25,502.74,19.99,0,114.47,62.84,Optimized,Low Efficiency
113,2024-01-03 08:42:00,FL3131,111.92,Perishable,Critical,Arrival,T3,10,123.36,12.68,30,7,Loader,82.75,75.72,36,11.09,1,Fog,4952.49,419.07,111.51,1,16.44,111.77,Optimized,Low Efficiency
114,2024-07-10 19:03:00,FL1475,97.93,Perishable,Medium,Arrival,T4,12,128.41,50.35,20,4,Conveyor,99.8,82.2,14,34.85,0,Storm,683.16,154.57,94.06,1,30.46,20.74,Baseline,Low Efficiency
115,2024-12-30 12:22:00,FL8712,77.84,General,Low,Arrival,T3,18,36.46,101.04,15,12,Forklift,51.67,78.63,37,66.21,1,Fog,738.5,724.44,91.53,0,16.35,114.78,Baseline,Low Efficiency
116,2024-05-10 02:10:00,FL1826,105.22,Perishable,Medium,Arrival,T3,14,95.88,53.61,8,12,Conveyor,64.66,60.69,32,54.42,0,Storm,1358.25,289.85,74.0,0,79.5,133.29,Baseline,Low Efficiency
117,2024-03-18 11:39:00,FL2735,97.42,General,Medium,Arrival,T4,10,161.88,35.12,45,8,Crane,51.56,94.26,53,41.22,0,Rain,3453.79,804.17,35.04,1,125.5,121.28,Optimized,Low Efficiency
118,2024-08-05 07:42:00,FL7284,26.46,Express,High,Arrival,T2,10,58.55,119.75,19,4,Crane,91.64,88.25,28,89.35,1,Storm,1678.85,736.5,21.39,0,47.31,43.47,Adaptive,Low Efficiency
